Freq (GHz),Effective Dk (1),Effective Dk std (1),Losses (dB/mm),Losses std (dB/mm)
1.0,2.466998166635038,0.017675818075300432,0.0028680605292329773,0.00045093473100966854
1.5,2.4518477139580823,0.011259276269734268,0.004616199880679356,0.0004528400734962223
2.0,2.439270514392821,0.008548709324640757,0.00643495089358576,0.00046731982164617905
2.5,2.429266567939252,0.008615352796546693,0.008218305645732737,0.0005604566710762471
3.0,2.4218358745973765,0.009026719558757397,0.009859364824766195,0.0006695007122121874
3.5,2.419359794871696,0.00872272829763339,0.010769816074829422,0.0006174240353846753
4.0,2.417102813348901,0.008633511019577142,0.011905009731424743,0.0006664982078948493
4.5,2.4157211793777265,0.008519549212687185,0.012694754335828617,0.0006274312735341111
5.0,2.4141661617725187,0.00847856678795538,0.013820834955335478,0.0006842163706219917
5.5,2.412357231026095,0.008435025051398978,0.015138198928133853,0.0006610494993523867
6.0,2.4104399260695417,0.008405791629573691,0.01650021590535468,0.0006252185191725323
6.5,2.4088933538941304,0.00838377384621195,0.01780478538457767,0.0005873311201910359
7.0,2.407434062524085,0.008368753161886972,0.019084382329960754,0.0006074260981021538
7.500000000000001,2.4061794039402957,0.008353809201598991,0.020143695756600282,0.0006082046316023236
8.0,2.404242106627865,0.00833888730760224,0.021164445171945122,0.0006246687551034242
8.5,2.4028731553979314,0.008326345562729745,0.022192870723463473,0.0006666576071206321
9.0,2.401781315208149,0.008319141145811518,0.023316800997199672,0.0007388241012942612
9.5,2.400689803131914,0.008315746861597946,0.02441231835065963,0.0007962970743666869
10.0,2.3995370309024584,0.008296706562221758,0.02563086260250043,0.000814364132609209
10.5,2.3987403014352022,0.00827388848169552,0.026679491276663365,0.0007816356906880572
11.0,2.397913561508227,0.008254172530521117,0.027764949988770563,0.0007301747010540969
11.5,2.3973018170689464,0.00825050634721562,0.02867680851127436,0.0007192050649364136
12.0,2.396362988613086,0.008247784990904746,0.029732475245356133,0.0006732226703006527
12.5,2.395707548611983,0.00825130949637548,0.030596705803526063,0.0006356783070812278
13.0,2.3952133630492067,0.008255461521035434,0.031634073145950764,0.0006439475659129092
13.5,2.394668433141411,0.008258209603774687,0.0326368188217811,0.0006684669731572968
14.0,2.3939504826365425,0.008254581873244066,0.03372794096963205,0.0006595432003370707
14.500000000000002,2.393371925545027,0.008248429317010688,0.034923734820697654,0.0006380730257162118
15.000000000000002,2.3925314513059335,0.008240673139699584,0.036178240642410917,0.0005988344201013074
15.500000000000002,2.391860843355224,0.00823494211738207,0.0371659768656873,0.0006076887609279876
16.0,2.390966567824636,0.008230522652253788,0.038311083621267214,0.0006168136533233037
16.5,2.3904743767819143,0.0082280015955831,0.039082523299131325,0.0006297121331107791
17.0,2.3902889627248283,0.008225379369285999,0.03979337145385255,0.0006393766775397911
17.5,2.3901274561888095,0.008220362627413318,0.040562316120464695,0.0006724245305716301
18.0,2.389805541325513,0.008214641624713998,0.041226546785792316,0.0007119096018776034
18.5,2.389546440453915,0.00820962841318613,0.04210833967052476,0.0007584444213137681
19.0,2.389216226869237,0.008206519619002954,0.04307852179615864,0.0007535661737102419
19.5,2.3890370398924854,0.008204557538506988,0.043823396741047446,0.000777573983525368
20.0,2.3885684025966207,0.008203793423385189,0.044380054198118614,0.0007883684056081556
20.5,2.388684603149904,0.008202263508077753,0.044968725401421716,0.000820960665942508
21.0,2.388885753360968,0.008202986623350663,0.044975152786315496,0.0008254182516064949
21.5,2.3890415869567403,0.008205273998190047,0.045499523293960835,0.0008265396432051441
22.0,2.389111396323489,0.008207121958477523,0.045630142576708235,0.0008091633960318022
22.5,2.389371145090008,0.008206315995193517,0.04614718721292098,0.0008223640229175517
23.0,2.389643403220074,0.008204985995058908,0.04707117692126138,0.0008285158926687799
23.5,2.389766875565672,0.008202567477968447,0.047786547117966593,0.0008465483329837243
24.0,2.389643353002065,0.008202389392629825,0.04842232789586935,0.0009267594915645887
24.5,2.389864954779024,0.008202168362179829,0.049332450434202084,0.0010284536950886211
25.0,2.39025276718579,0.00820273582556475,0.04961647079635967,0.0010737236047794743
25.5,2.390506255617692,0.008204284765547364,0.05018109299608878,0.0010480006940059544
26.0,2.3907598524919083,0.00820795646500596,0.05047347421669085,0.0009458501925834139
26.5,2.3909416811737394,0.008211930368312428,0.051049983109589275,0.0008062992635559049
27.0,2.390940581274348,0.008215060416490911,0.05173670737120896,0.000759658091698816
27.5,2.3911391022247446,0.00821672023694188,0.05249042213051731,0.0007157608425076976
28.0,2.3909888458763873,0.008217521532530293,0.05285212998460326,0.0006960738959389788
28.5,2.391301016208711,0.008214385378910687,0.052955755302390536,0.000706510028313723
29.000000000000004,2.3918600528067486,0.008213473092577542,0.05376464374360522,0.0007064629539267868
29.500000000000004,2.39212437317528,0.008211800689063884,0.05505016355121934,0.00067636341696462
30.000000000000004,2.3920697893841667,0.008208886649204852,0.05682023853152363,0.0006202131524085028
30.500000000000004,2.3918525885865143,0.008205026802797919,0.058756618594480024,0.0005300167391716539
31.000000000000004,2.391666973640592,0.008200128645684809,0.06071161780856782,0.000468858341229161
31.500000000000004,2.3915280204388725,0.008196674724593896,0.06247419487664943,0.0004458663191678922
32.0,2.391381301615022,0.008196448719154642,0.06323124038649353,0.00042795278810488886
32.5,2.3918588704996795,0.008195501978347662,0.06325548514923723,0.0004140772777475796
33.0,2.392258971970274,0.00819586969414946,0.06362305689175639,0.00040737103880243025
33.5,2.3925616125272935,0.008196426338225963,0.0639584768540862,0.0004079230314752424
34.0,2.39305312774908,0.008197280608273067,0.0642428704800667,0.00041318960371214815
