Freq (GHz),Effective Dk (1),Effective Dk std (1),Losses (dB/mm),Losses std (dB/mm)
1.0,2.3966849298098882,0.01650315224258873,0.0025008086696963437,0.0004210844119949317
1.5,2.3873584174572096,0.01056895691656597,0.0033515406462443155,0.00042939730546725705
2.0,2.379428160894201,0.008215255117056532,0.004016600143713602,0.00043657777595870983
2.5,2.3728941601208624,0.00839244540491134,0.004557565616006659,0.0005012360251606815
3.0,2.367756415137192,0.008785672858454099,0.005036608529529623,0.000580609822731523
3.5,2.365765263862023,0.008539325606805384,0.005458248761930282,0.0004974921579863674
4.0,2.363148247005128,0.008464652985172388,0.005995339447138596,0.0005912736905083583
4.5,2.3608714411697,0.008357554237148627,0.006836381538341719,0.000578252933839203
5.0,2.359377563106567,0.008319291627732938,0.007415744290367199,0.0006223724877790338
5.5,2.3579466547158554,0.008275448610524448,0.00796600481368886,0.0006003427987339391
6.0,2.357057743109368,0.008242956840699695,0.008496395163841758,0.0005527852481661007
6.5,2.3561988459391716,0.008221185018038145,0.008949606103568764,0.0005230179858057403
7.0,2.3555245559362614,0.008203195640105888,0.009506272485796387,0.0005624135517951837
7.500000000000001,2.355020571832747,0.008188975176080778,0.010025279850836465,0.0005934577146338012
8.0,2.3543587446190095,0.008178828044874936,0.010525686063191637,0.0006263343265460958
8.5,2.35380434045905,0.008177129707839084,0.010972654294682345,0.0006942160934412559
9.0,2.353272733626262,0.008182923331976268,0.011501552855630554,0.0007897235350548417
9.5,2.3529091177790153,0.00818726686775829,0.011880904518816295,0.000854600841157128
10.0,2.3528664020082095,0.008169562179513059,0.012354740865836787,0.000842698993132602
10.5,2.3528329632146265,0.008142012241482479,0.012774028108364144,0.0007473025166367765
11.0,2.3529316793555526,0.008117151557026546,0.013211818873865157,0.0006122758206814255
11.5,2.3528293290731805,0.008111340298922002,0.013527633273639204,0.0006009994445234949
12.0,2.3526498823552675,0.00810424696456136,0.014050167744804443,0.0005868959492571449
12.5,2.3525793629964347,0.008102070447791472,0.014343799237412486,0.0005945249219097232
13.0,2.352718204515871,0.008099994706571662,0.014900449359655423,0.0006149815550717142
13.5,2.352918762987169,0.008099692466895535,0.015357057406807496,0.0006296636693652347
14.0,2.353389473631393,0.008097333688722508,0.0159297065788035,0.0006107989086577469
14.500000000000002,2.3539160722402563,0.008095600522660302,0.016700575507454192,0.0006108303123065223
15.000000000000002,2.3540044633320907,0.008093130443058354,0.01730428469467416,0.0005764269490025934
15.500000000000002,2.3538601750515973,0.008090897203359947,0.017850675246293076,0.0005605093265346179
16.0,2.3537439230246378,0.008088115674726079,0.01867786581359003,0.0005618207266702041
16.5,2.3536663397260655,0.008087374784422112,0.018914559674603357,0.0005757338662222601
17.0,2.35413121011361,0.008086171952012312,0.019509892294109505,0.0005779792728047074
17.5,2.3544269919131566,0.008088036974108405,0.02006335133756285,0.0005784390521004452
18.0,2.3547961456287596,0.008090752131473927,0.0207063612804287,0.0005750467703850292
18.5,2.3551717085774686,0.008092238237452705,0.021458593241931306,0.0006025506798542475
19.0,2.3552372113983973,0.008092299947475023,0.02190850084212912,0.0006231307591712002
19.5,2.355186866950837,0.008091144146735717,0.02237558283366293,0.0006238999975359676
20.0,2.3552915079894308,0.008093271031568766,0.022813798227334495,0.0006466573047720393
20.5,2.355440628480631,0.008097702331911512,0.022617091332388598,0.0007509552181221748
21.0,2.3560457201507123,0.008103546418999762,0.022652399922603875,0.0008585577298055535
21.5,2.3563937540925908,0.00810911028265146,0.022931564431124325,0.0009223223118909867
22.0,2.356877831579179,0.008112026505579817,0.023129695909364215,0.000909115607676403
22.5,2.357258073996625,0.008111470256317229,0.02347499782795124,0.0008521087821736024
23.0,2.3578151086440844,0.00811070711192156,0.024245568489848577,0.0008529125438433451
23.5,2.358097704748141,0.008107560763247774,0.02492580803769396,0.0008507796502359309
24.0,2.3585388714103632,0.008107642497068183,0.025279388129583125,0.0009256291750762795
24.5,2.3587896286294483,0.008105395345172564,0.02567313517061027,0.0010051008079732153
25.0,2.359121460089163,0.008106451576597402,0.025911322973445478,0.0010252338991006413
25.5,2.3596042609143097,0.008107964973024448,0.02638697857193036,0.0009892319217534634
26.0,2.3601498361717774,0.008110901369092994,0.02630846883659438,0.0008930232490284206
26.5,2.3607993267253553,0.008111684054540786,0.026992956952206895,0.0007683608868901657
27.0,2.361445774759535,0.008113885827426212,0.02781322717032629,0.0007550501330570224
27.5,2.361844888705,0.00811577464015191,0.028048765213848283,0.0006991213264407598
28.0,2.3622741338575466,0.008119010501893068,0.0281099504473521,0.0006693873856588069
28.5,2.3627067516851143,0.008117509311433041,0.028492710078074045,0.0006620890196600229
29.000000000000004,2.363096005874279,0.008118830126641417,0.028603248625209077,0.0006540263271357811
29.500000000000004,2.363411122679036,0.008118815138973822,0.028877634627617964,0.0006297791845306662
30.000000000000004,2.363611847719717,0.008118176719101073,0.028963499751010865,0.0005821394881294269
30.500000000000004,2.363943115359614,0.008113909901734502,0.02966422475453047,0.0005043414637354407
31.000000000000004,2.364032267673542,0.00811062999913918,0.030090774763681622,0.0004141555358235938
31.500000000000004,2.3642818121474045,0.008109132051071286,0.030377016337567262,0.00037247179401729883
